MTES,impulsivity,ss,exploration,Risk Variety,Gender,Unnamed: 6,pnrt_pos,pnrt_neg,brp_hsn,mmi,Video Gaming,First Phone Age,Filter 1,Phone Hours/Day,social_score,parasocial_score
-0.895379525,0.955543205,-1.16423,-0.576100106,26.0101,1,,64.28571,0.0,11.11111,-0.74785,0,15.0,1,3.5,6,6
-0.202051331,0.955543205,-1.33089,-0.658322345,48.48485,1,,64.28571,62.5,33.33333,-0.88867,0,14.0,1,7.5,5,4
0.660326597,1.117046576,-1.49756,0.791412769,47.47475,1,,71.42857,75.0,22.22222,0.177975,1,13.5,1,8.0,13,6
0.358368048,0.309529718,-1.33089,-0.012726537,55.30303,1,,78.57143,75.0,33.33333,0.14734,4,12.5,1,5.5,13,6
-0.584532861,2.247570178,-1.66423,-1.874212817,27.27273,1,,64.28571,37.5,0.0,-0.99965,0,15.0,1,2.0,4,6
0.829317816,1.44005332,-1.16423,-0.574221268,38.38384,1,,50.0,62.5,22.22222,-0.06175,0,13.5,1,8.0,12,3
0.660798025,-0.174980397,-1.49756,-0.765187304,43.93939,1,,50.0,62.5,33.33333,-0.52742,1,12.5,1,6.0,12,7
-0.71750019,-1.305503999,-1.83089,-0.69513257,15.90909,1,,50.0,0.0,0.0,-0.4903,1,12.5,1,5.0,0,6
0.526887839,0.47103309,-0.99756,1.026569836,64.14141,1,,78.57143,62.5,55.55556,0.544902,1,14.0,1,8.5,10,5
0.358368048,0.148026346,-1.66423,1.041645618,33.83838,1,,64.28571,12.5,22.22222,-0.77761,0,16.0,1,5.0,13,6
0.936563657,0.148026346,-1.16423,2.681251121,48.48485,1,,78.57143,37.5,33.33333,0.520907,0,15.0,1,6.5,14,11
1.63736568,1.117046576,-0.99756,0.60739331,49.49495,1,,57.14286,50.0,44.44444,-0.38112,0,15.0,1,3.5,16,4
-0.655224868,-1.951517486,-1.49756,0.560175773,9.090909,2,,28.57143,0.0,0.0,-0.90209,0,15.0,1,5.0,7,2
-0.504009879,-0.174980397,-1.49756,0.360974467,33.83838,2,,50.0,37.5,22.22222,0.804693,4,15.0,1,3.0,4,5
-1.331248261,-0.174980397,-1.16423,-0.432830162,26.0101,1,,57.14286,12.5,11.11111,-1.20813,0,14.0,1,3.0,6,2
0.153765853,-0.497987141,-1.66423,-0.135118315,42.92929,1,,64.28571,62.5,22.22222,-1.18936,0,14.0,1,4.0,14,0
0.4384196,-0.820993884,-1.49756,0.18644071,41.66667,1,,57.14286,37.5,33.33333,2.103907,2,14.0,1,,12,6
0.714185231,-0.497987141,-1.66423,-0.464589579,47.22222,1,,50.0,50.0,44.44444,-0.70277,0,12.0,1,,18,6
-0.219827562,-0.013477026,-1.16423,0.002372444,38.38384,2,,64.28571,37.5,22.22222,0.262104,2,14.0,1,5.0,8,5
0.367256163,-0.013477026,-0.99756,0.041924618,45.20202,1,,64.28571,75.0,22.22222,-0.0843,1,13.0,1,4.0,13,4
-0.148192696,0.794039833,-1.33089,-1.206610798,41.66667,1,,42.85714,62.5,33.33333,-0.2158,0,14.0,1,6.0,10,4
1.407041997,-0.013477026,-1.66423,1.062860528,43.93939,1,,57.14286,50.0,33.33333,-0.03804,0,12.0,1,9.0,9,12
0.731961462,-0.820993884,-0.99756,-0.251066108,53.0303,2,,78.57143,62.5,33.33333,0.462488,4,14.0,1,8.0,13,7
0.002550864,-0.174980397,-1.33089,-0.448713246,40.65657,2,,78.57143,25.0,22.22222,-0.07041,0,11.0,1,4.5,7,7
0.216041174,-0.013477026,-1.66423,0.920324213,49.49495,1,,50.0,62.5,44.44444,-0.7189,2,14.0,1,6.0,10,7
0.598051275,-0.174980397,-1.33089,-0.3434281,41.66667,1,,57.14286,37.5,33.33333,0.001706,0,12.5,1,4.5,6,10
-1.535850455,0.794039833,-1.79756,-0.448525261,29.29293,1,,42.85714,25.0,22.22222,-0.71411,0,18.0,1,1.0,2,1
-0.833104204,-0.820993884,-1.66423,-0.758223051,37.37374,1,,85.71429,25.0,11.11111,-1.44435,0,12.0,1,4.0,9,6
-0.095276919,0.309529718,-1.33089,0.015046287,27.0202,1,,50.0,0.0,22.22222,1.266295,0,17.0,1,4.0,14,5
0.669214712,-0.659490512,-1.49756,0.714742116,46.21212,1,,71.42857,37.5,33.33333,-0.29335,0,15.0,1,7.5,7,10
-0.122942636,0.148026346,-0.99756,-0.436877624,31.56566,1,,28.57143,62.5,22.22222,0.514684,3,16.0,1,4.5,5,3
-0.673001099,0.794039833,-1.99756,-2.977287285,9.090909,1,,21.42857,12.5,0.0,1.553052,0,14.0,1,6.5,7,6
