pid_assignment,pnrt_audition,pnrt_newclub,pnrt_phone,pnrt_truth,pnrt_food,pnrt_cheat,pnrt_leader,pnrt_skip,pnrt_like,pnrt_challenge,pnrt_personal,pnrt_newlook,pnrt_snuckout,pnrt_newsocial,pnrt_secret,pnrt_sexy,pnrt_beliefs,pnrt_friend,pnrt_sport,pnrt_mph,pnrt_newpeople,pnrt_auditionfreq,pnrt_newclubfreq,pnrt_phonefreq,pnrt_truthfreq,pnrt_foodfreq,pnrt_cheatfreq,pnrt_leaderfreq,pnrt_skipfreq,pnrt_likefreq,pnrt_challengefreq,pnrt_personalfreq,pnrt_newlookfreq,pnrt_snuckoutfreq,pnrt_newsocialfreq,pnrt_secretfreq,pnrt_sexyfreq,pnrt_beliefsfreq,pnrt_friendfreq,pnrt_sportfreq,pnrt_mphfreq,pnrt_newpeoplefreq,pnrt_complete
3084.1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,2,2,1,2,3,2,,,,,1,,3,,3,,,,2,2,2
3097.1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,,,3,2,3,,1,3,1,2,3,1,,1,3,,3,1,1,3,2,2
3073.1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,,2,,1,1,2,,3,,1,,2,,2,1,,1,1,1,,3,2
3085.1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,3,3,2,2,1,2,3,1,2,,3,,,3,3,3,1,2,3,2,2
3090.1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,2,1,2,3,2,,1,1,1,,,3,1,1,3,1,3,2,3,1,,2
3076.1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,2,,1,1,1,2,1,,1,,1,,1,1,,1,1,1,2,2,2
3069.1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,3,2,1,3,3,,1,1,,,,,,,3,,3,1,1,,1,2
3096.1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,,2,1,2,,2,1,3,,3,,2,1,2,2,1,1,,3,2
3110.1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,3,3,2,3,,2,3,3,2,1,1,3,2,1,1,2,1,2
3115.1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,2,1,3,1,2,3,3,,,1,3,3,,3,3,,1,1,2,2,1,2
1022.1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,,0,1,1,0,1,1,,,2,2,,,1,1,,,2,,,,,,,1,,1,2
1023.1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,,1,1,1,1,1,1,1,,3,2,,2,,1,2,,3,1,,,,3,3,1,3,1,2
1024.1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,,1,1,1,1,0,,1,,,1,,2,,1,,,,,,,,1,3,2,3,,2
1025.1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,,1,0,1,0,0,,1,,,2,,1,,,,,1,,,,,1,1,1,,,2
1026.1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,1,1,1,1,1,,,,3,3,3,,,,,,,,,3,,3,3,3,3,3,2
3093.1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,2,1,2,2,3,3,3,2,,1,,,1,1,2,2,3,1,,3,2,2
3103.1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,,,3,2,1,,,1,2,,1,,,1,3,3,1,,,1,2
3102.1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,3,3,3,2,1,1,1,1,,1,,2,3,3,3,1,2,,2,2
3070.1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,,1,,3,3,3,1,2,1,3,1,1,,,2,1,3,2,2,,2,2
2011.1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,,3,3,3,1,,2,1,,1,,,3,3,3,1,1,1,1,2
2012.1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,,1,,1,3,,1,,,1,,1,,,2,,,,1,,,2
2013.1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,,3,3,3,,,,2,,2,,2,2,,3,2,2,,3,2
3077.1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,,,2,,1,,,1,,,,,1,,2,1,1,,1,2
3092.1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,,1,,2,3,2,,,1,2,,1,,2,3,1,1,1,,3,2,2
3072.1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,,1,,1,2,2,1,,,1,,1,,,1,,1,1,2,1,3,2
3104.1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,2,2,1,1,1,2,1,,,,,1,3,1,2,3,,,2,2
3107.1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,3,,2,3,2,1,3,1,3,,1,,2,3,3,2,1,,,2,2
3106.1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,2,1,,2,3,3,2,,1,1,,2,2,1,1,,1,1,2,,2,2
3098.1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,,1,,,2,1,1,3,,2,,1,,,,,1,1,,,1,2
3117.1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,,1,,2,2,,1,,,,,2,,3,3,,2,1,1,,2,2
3119.1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,,1,1,,1,,1,1,,1,1,,1,,1,1,1,,1,2
3086.1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,3,1,1,3,2,,2,1,2,,3,1,3,2,,2,3,3,,3,2
2014.1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,3,2,1,1,1,,1,1,,1,,2,2,2,1,1,,1,2,2
